TweetId,Text,Username,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount,Media,Hour,Year,Month,MonthName,MonthDay,DayName,Week,Date,Time
1548942644033855488,".@FIAFarnborough: it's been a while and it's good to be back! 
Keep calm and let Day 1 at #FIA2022 begin! https://t.co/wEIr6Cq93E https://t.co/Tj01JTaotw",Airbus,en,['FIA2022'],2,18,220,4,"[Photo(previewUrl='https://pbs.twimg.com/media/FX7y_T7XkAEE2Vr?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FX7y_T7XkAEE2Vr?format=jpg&name=orig', altText=None)]",8,2022,7,July,18,Monday,29,2022-07-18,08:07:58
1548626840633352193,"@toulouse_A350 The Beluga ""ST"" is indeed based on the A300-600 while the BelugaXL is based on the A330.",Airbus,en,,1,0,1,0,,11,2022,7,July,17,Sunday,28,2022-07-17,11:13:05
1548549032561319937,Happy #WorldEmojiDay 🙂 🥳 🎉 from our flying #emoji! 🐳 #BelugaXL https://t.co/BJwkFxhZZe,Airbus,en,"['WorldEmojiDay', 'emoji', 'BelugaXL']",11,129,881,11,"[Gif(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/FX2MkSvWYAAGBM4.jpg', variants=[VideoVariant(url='https://video.twimg.com/tweet_video/FX2MkSvWYAAGBM4.mp4', contentType='video/mp4', bitrate=0)], altText=None)]",6,2022,7,July,17,Sunday,28,2022-07-17,06:03:54
1548386035884666887,"The majestic fan-favourite, our #BelugaXL has been wowing the crowds at @airtattoo in the UK. If you were lucky enough to be there, we hope you've enjoyed the show! #RIAT22 https://t.co/S3UoqW2v1P",Airbus,en,"['BelugaXL', 'RIAT22']",19,93,563,15,"[Video(thumbnailUrl='https://pbs.twimg.com/media/FXz4khlUYAUJxjM.jpg', variants=[VideoVariant(url='https://video.twimg.com/amplify_video/1548385123535466500/vid/480x270/YF0-k9n2bq1d5nCy.mp4?tag=14', contentType='video/mp4', bitrate=288000), VideoVariant(url='https://video.twimg.com/amplify_video/1548385123535466500/vid/640x360/jGILhiFsdipu6qxT.mp4?tag=14', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/amplify_video/1548385123535466500/pl/VLzRsjEpLl7JYrd8.m3u8?tag=14&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/amplify_video/1548385123535466500/vid/1280x720/lAMnwXCWd4_pQF_p.mp4?tag=14', contentType='video/mp4', bitrate=2176000)], duration=37.48, views=25229, altText=None)]",19,2022,7,July,16,Saturday,28,2022-07-16,19:16:13
1548265091732164610,"#Riat2022 | #BelugaXL in action at @airtattoo! The Beluga was built for outsized transportation, carrying cargo from 🛰 space industries and 🚁 to military vehicles and 📦 humanitarian supply distributors.
Learn more: https://t.co/XD66bPEhqN https://t.co/MxiIwcjaH2",Airbus,en,"['Riat2022', 'BelugaXL']",5,102,601,14,"[Photo(previewUrl='https://pbs.twimg.com/media/FXyK4-oUUAEErOi?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FXyK4-oUUAEErOi?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FXyK4-pUYAUILAB?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FXyK4-pUYAUILAB?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FXyK4-rVUAAPVr3?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FXyK4-rVUAAPVr3?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FXyK4-oUEAAwGNo?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FXyK4-oUEAAwGNo?format=jpg&name=orig', altText=None)]",11,2022,7,July,16,Saturday,28,2022-07-16,11:15:37
1548234905296859136,"Watch out @airtattoo, something big is coming!! 🐳 
#RIAT22 #BelugaXL https://t.co/MTG2Ydn6Bn",Airbus,en,"['RIAT22', 'BelugaXL']",19,86,1035,17,"[Photo(previewUrl='https://pbs.twimg.com/media/FXxvcEsUYAEu8Fm?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FXxvcEsUYAEu8Fm?format=jpg&name=orig', altText=None)]",9,2022,7,July,16,Saturday,28,2022-07-16,09:15:40
1547884144041938949,"#AVgeeks, our friends @FlySWISS have a question for you! 👇",Airbus,en,['AVgeeks'],2,14,197,0,,10,2022,7,July,15,Friday,28,2022-07-15,10:01:52
1547474877816475648,@aaichnairport @AAI_Official @pibchennai @AirbusPRESS Thanks for capturing this moment and for the welcome!,Airbus,en,,1,2,75,0,,6,2022,7,July,14,Thursday,28,2022-07-14,06:55:36
1547122066821943299,"@VirginAtlantic Wow 🤩! Congratulations on your new #A330neo #AirspaceCabin, @VirginAtlantic - taking every passenger’s flight experience to new (or should we say « neo » 😉) levels!",Airbus,en,"['A330neo', 'AirspaceCabin']",1,5,32,0,,7,2022,7,July,13,Wednesday,28,2022-07-13,07:33:39
1546947514040975362,@Gaussm Thanks Martin - great to have you &amp; @airBaltic part of the #A220 Family!,Airbus,en,['A220'],1,0,5,0,,20,2022,7,July,12,Tuesday,28,2022-07-12,20:00:02
